d;Country;Area;ID;name;Name1;Name2;Name3;First case reported;Total;Confirmed cases;Neuro-invasive infections;Non neuro-invasive;Asymtomatic (blood donors)
205;Montenegro;Podgorica or Bar region;NA;;1;1;Podgorica;21/08/2013;1;0;;;
206;Montenegro;Podgorica ;NA;;1;1;Podgorica;19/09/2013;2;0;;;
30;Albania;Lezhe prefecture;AL014;NA;3;1;Lezhë;12/08/2011;2;-;;;
197;Bosnia and Herzegovina;Modrica canton;NA;NA;3;2;Modri?a;07/10/2013;1;1;;;
198;Bosnia and Herzegovina;Tuzlansko-podrinjski canton;NA;NA;3;2;Tuzla;10/09/2013;2;2;;;
280;Bosnia and Herzegovina;Republika Srpska;NA;NA;3;1;Repuplika Srpska;13/06/2014;13;0;;;
45;Turkey;Antalya province;TR611;;;;;12/09/2011;1;-;;;
46;Turkey;Mugla province;TR323;;;;;12/09/2011;1;-;;;
47;Turkey;Sakarya province;TR422;;;;;12/09/2011;1;-;;;
453;Turkey;Izmir;TR310;;;;;28/11/2016;1;1;;;
526;Turkey;Adana;TR621;;;;;16/10/2017;2;2;;;
527;Turkey;Sanliurfa;TRC21;;;;;16/10/2017;2;2;;;
528;Turkey;Hatay;TR631;;;;;16/10/2017;1;1;;;
529;Turkey;Istanbul;TR100;;;;;20/11/2017;1;1;;;
454;Turkey;Manisa;TR331;;;;;28/11/2016;1;1;;;
530;Turkey;Icel;TR622;;;;;20/11/2017;1;1;;;
